   ,Date      ,NewInfection,NewAsymptomatic,AllInfection,AllAsymptomatic,Death
99 ,2022-03-17,57          ,203            ,160         ,1312           ,0
100,2022-03-16,8           ,150            ,103         ,1109           ,0
101,2022-03-15,5           ,197            ,95          ,959            ,0
102,2022-03-14,9           ,130            ,90          ,762            ,0
103,2022-03-13,41          ,128            ,81          ,632            ,0
104,2022-03-12,1           ,64             ,40          ,504            ,0
105,2022-03-11,5           ,78             ,39          ,440            ,0
106,2022-03-10,11          ,64             ,34          ,362            ,0
107,2022-03-09,4           ,76             ,23          ,298            ,0
108,2022-03-08,3           ,62             ,19          ,222            ,0
109,2022-03-07,4           ,51             ,16          ,160            ,0
110,2022-03-06,3           ,45             ,12          ,109            ,0
111,2022-03-05,0           ,28             ,9           ,64             ,0
112,2022-03-04,3           ,16             ,9           ,36             ,0
113,2022-03-03,2           ,14             ,6           ,20             ,0
114,2022-03-02,3           ,5              ,4           ,6              ,0
115,2022-03-01,1           ,1              ,1           ,1              ,0
